date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
10/22/21 ,      71 ,     0.0 ,        6 ,      49 ,Partly Cloudy           ,0.12959249445947904
3/6/21   ,      54 ,     0.0 ,       13 ,      32 ,Fair                    ,0.1289856360134404
12/3/21  ,      62 ,     0.0 ,       10 ,      64 ,Mostly Cloudy           ,0.1288818876851737
11/2/21  ,      63 ,     0.0 ,        8 ,      52 ,Partly Cloudy           ,0.1286039063565882
5/8/21   ,      67 ,     0.0 ,       21 ,      59 ,Mostly Cloudy / Windy   ,0.12844080203323072
1/13/21  ,      39 ,     0.0 ,        8 ,      39 ,Fair                    ,0.12829714781750826
12/21/21 ,      42 ,     0.0 ,        5 ,      37 ,Fair                    ,0.12751740436931291
4/26/21  ,      65 ,     0.0 ,       16 ,      45 ,Partly Cloudy           ,0.12744683453165798
7/16/21  ,      80 ,     0.0 ,       12 ,      52 ,Cloudy                  ,0.12723865186651792
6/20/21  ,      80 ,     0.0 ,       10 ,      61 ,Cloudy                  ,0.12717938909415266
5/2/21   ,      72 ,     0.0 ,       16 ,      46 ,Partly Cloudy           ,0.12710678483147503
9/26/21  ,      67 ,     0.0 ,       10 ,      46 ,Mostly Cloudy           ,0.12683646378535468
11/1/21  ,      59 ,     0.0 ,        9 ,      50 ,Partly Cloudy           ,0.12569469316293266
12/27/21 ,      68 ,     0.0 ,       16 ,      58 ,Cloudy                  ,0.1255663371218412
8/5/21   ,      81 ,     0.0 ,       12 ,      59 ,Cloudy                  ,0.12522221490722446
4/15/21  ,      65 ,     0.0 ,       15 ,      70 ,Cloudy                  ,0.12481324058517802
11/22/21 ,      54 ,     0.0 ,       13 ,      37 ,Fair                    ,0.12417077246784225
2/28/21  ,      71 ,     0.0 ,       17 ,      65 ,Partly Cloudy           ,0.1238060586539945
4/21/21  ,      49 ,     0.0 ,        9 ,      26 ,Fair                    ,0.12320459097130435
10/18/21 ,      57 ,     0.0 ,        9 ,      33 ,Fair                    ,0.12216448318109004
2/2/21   ,      47 ,     0.0 ,       12 ,      36 ,Fair                    ,0.1218360501844198
11/20/21 ,      53 ,     0.0 ,       14 ,      60 ,Mostly Cloudy           ,0.12175867235419131
11/13/21 ,      48 ,     0.0 ,        8 ,      24 ,Fair                    ,0.12159945191555796
3/11/21  ,      70 ,     0.0 ,       18 ,      60 ,Cloudy                  ,0.12140120863694293
1/5/21   ,      51 ,     0.0 ,       13 ,      38 ,Fair                    ,0.12096456269111334
4/7/21   ,      67 ,     0.3 ,       18 ,      60 ,Mostly Cloudy           ,0.12064166736316595
6/8/21   ,      81 ,     0.0 ,       15 ,      55 ,Partly Cloudy           ,0.11946379232567154
3/16/21  ,      68 ,     0.0 ,       10 ,      65 ,Mostly Cloudy           ,0.1192907628194952
7/13/21  ,      78 ,     0.3 ,        7 ,      59 ,Mostly Cloudy           ,0.11918593757804617
1/2/21   ,      41 ,     0.0 ,        7 ,      42 ,Fair                    ,0.1190335755589906
10/24/21 ,      70 ,     0.0 ,        9 ,      52 ,Partly Cloudy           ,0.11868718198127058
3/20/21  ,      47 ,     0.0 ,        7 ,      31 ,Fair                    ,0.11849759286924656
12/14/21 ,      69 ,     0.0 ,       14 ,      62 ,Partly Cloudy           ,0.11834043055408838
8/21/21  ,      80 ,     0.0 ,       14 ,      46 ,Partly Cloudy           ,0.11782969417406533
9/4/21   ,      77 ,     0.0 ,        5 ,      41 ,Partly Cloudy           ,0.11701121922332137
12/22/21 ,      48 ,     0.0 ,       12 ,      49 ,Partly Cloudy           ,0.11674685339466093
9/17/21  ,      74 ,     0.0 ,        7 ,      50 ,Partly Cloudy           ,0.11619325372720275
11/23/21 ,      50 ,     0.0 ,       12 ,      47 ,Partly Cloudy           ,0.11609721945413431
7/18/21  ,      81 ,     0.0 ,        8 ,      61 ,Mostly Cloudy           ,0.1157467832129673
9/11/21  ,      71 ,     0.0 ,       12 ,      43 ,Mostly Cloudy           ,0.11506472824919498
10/9/21  ,      70 ,     0.0 ,       10 ,      45 ,Partly Cloudy           ,0.11386129446027517
12/23/21 ,      57 ,     0.0 ,       15 ,      48 ,Partly Cloudy           ,0.1128898738311603
11/30/21 ,      49 ,     0.0 ,       13 ,      52 ,Partly Cloudy           ,0.11255235355405968
9/9/21   ,      76 ,     0.0 ,       10 ,      37 ,Partly Cloudy           ,0.1123412004407481
11/24/21 ,      61 ,     0.0 ,       17 ,      60 ,Mostly Cloudy           ,0.11233360203402509
6/14/21  ,      81 ,     0.0 ,        7 ,      37 ,Partly Cloudy           ,0.11225800340899736
9/15/21  ,      74 ,     0.0 ,       15 ,      67 ,Cloudy                  ,0.11220854193844729
10/26/21 ,      75 ,     0.0 ,       16 ,      67 ,Cloudy                  ,0.11137439111064164
11/15/21 ,      60 ,     0.0 ,       12 ,      45 ,Partly Cloudy           ,0.11134919075313378
9/5/21   ,      79 ,     0.0 ,        9 ,      36 ,Partly Cloudy           ,0.11065345268860839
8/22/21  ,      79 ,     0.0 ,        5 ,      43 ,Mostly Cloudy           ,0.11020064038835405
12/5/21  ,      65 ,     0.0 ,       14 ,      69 ,Mostly Cloudy           ,0.11018471493713589
12/31/21 ,      73 ,     0.0 ,       17 ,      58 ,Partly Cloudy           ,0.11012629773565386
12/16/21 ,      72 ,     0.0 ,       14 ,      62 ,Partly Cloudy           ,0.10969541698445509
7/23/21  ,      81 ,     0.0 ,       12 ,      47 ,Partly Cloudy           ,0.1094435565138676
4/4/21   ,      56 ,     0.0 ,       13 ,      59 ,Mostly Cloudy           ,0.10878954626595565
4/9/21   ,      73 ,     0.0 ,       17 ,      65 ,Cloudy                  ,0.10833302598872567
10/20/21 ,      73 ,     0.0 ,        6 ,      49 ,Mostly Cloudy           ,0.10761304821373081
